Name;wkn;Depot;buyDate;Kaufkurs;Kurs heute;Perf 3Y;Perf 3M;Perf 1M;Perf since buy;abs. Diff;Wert
COMST.-PSI 20;'ETF047';comdirect;16.04.2015;6,92;5,97;17,21;-11,78;-8,87;-13,77;-357,38;2237,25
DWS BIOTECH;'976997';comdirect;13.03.2015;240,50;238,75;193,89;3,76;3,69;-0,73;-38,61;5252,39
LS9AJF-Wikifolio;'LS9AJF';comdirect;07.07.2014;198,16;213,54;213443,50;-5,55;-4,82;7,76;230,75;3203,15
DAX-ETF;'ETF001';consors Haus;15.05.2014;114,84;106,97;67,11;-10,63;-3,51;-6,85;-204,62;2781,22
DWS Vermbldgs;'847651';consors Haus;15.05.2014;19,29;18,88;9,74;-5,34;-0,47;-2,15;-64,33;2925,63
Pictet Clean Energy;'A0MQNA';consors Haus;15.05.2014;80,40;77,94;64,15;-5,40;-3,16;-3,06;-91,02;2883,78
TecDax;'593397';consors Fred;16.07.2008;8,50;15,32;112,20;0,40;-1,71;80,25;4010,75;9008,75
SEB Concept Biotech;'542164';consors Stella;12.02.2015;116,23;129,99;191,39;3,57;5,67;11,84;412,80;3899,70
Nordic ETF;'A1T791';consors Julia;04.03.2015;33,18;32,40;32297,00;-7,54;-4,92;-2,36;-62,64;2591,76
SEB Ökolux;'971898';consors Julia;26.03.2015;47,42;43,57;57,69;-7,63;-2,66;-8,12;-192,50;2178,50
DAX;'709335';DAX;29.06.2005;4583,00;10676,78;66,56;-11,93;-4,65;132,96;6093,78;10676,78
